RepoId,Name,CloneUrl,CloudProvider,TotalResources
468348100,terragoat-gh-1,https://github.com/tamsalem/terragoat-gh-1.git,AWS,13400
359745886,modernisation-platform-environments,https://github.com/ministryofjustice/modernisation-platform-environments.git,AWS,10591
644001193,ecc-aws-rulepack,https://github.com/epam/ecc-aws-rulepack.git,AWS,5521
135275788,cloud-platform-environments,https://github.com/ministryofjustice/cloud-platform-environments.git,AWS,4906
713667380,judst,https://github.com/AndreySlivk23/judst.git,AWS,4065
233153882,fortigate-terraform-deploy,https://github.com/fortinet/fortigate-terraform-deploy.git,AWS,3517
358316740,terraform-provider-awscc,https://github.com/hashicorp/terraform-provider-awscc.git,AWS,3060
314383354,LargeScaleMPC,https://github.com/peratonlabs/LargeScaleMPC.git,AWS,2317
365170429,secure-firewall,https://github.com/CiscoDevNet/secure-firewall.git,AWS,2248
316823064,tutorials,https://github.com/antonputra/tutorials.git,AWS,1801
811985381,tutorials,https://github.com/MAVRICK-1/tutorials.git,AWS,1619
693434982,Mavenproject,https://github.com/Amit-Kumar-Singh-git/Mavenproject.git,AWS,1537
696608230,Devops,https://github.com/PrinceMani661995/Devops.git,AWS,1537
697811568,ekstutorials,https://github.com/qf-devops/ekstutorials.git,AWS,1537
716809442,AWS_EFS_CODE,https://github.com/FurquanMazhar/AWS_EFS_CODE.git,AWS,1537
739952615,test,https://github.com/navin260/test.git,AWS,1537
754029275,argocicd,https://github.com/maco971/argocicd.git,AWS,1537
759819689,Devops-tools-tutorial,https://github.com/pilotgab/Devops-tools-tutorial.git,AWS,1537
772029771,Kubernetes-HPA-Metric-server,https://github.com/hareeshab/Kubernetes-HPA-Metric-server.git,AWS,1537
792347755,Kubernetes,https://github.com/Saddam9940/Kubernetes.git,AWS,1537
285297257,modernisation-platform,https://github.com/ministryofjustice/modernisation-platform.git,AWS,1510
655148905,ANTON,https://github.com/arunvel1988/ANTON.git,AWS,1496
656210979,devops,https://github.com/Karlito1994/devops.git,AWS,1496
661643467,Tutorials,https://github.com/Selvamraju007/Tutorials.git,AWS,1496
664970407,K8s_tutorials,https://github.com/Gabinsime75/K8s_tutorials.git,AWS,1496
674966534,tutorials-installation,https://github.com/cbasavak/tutorials-installation.git,AWS,1496
674966836,anton-putra-tutorials,https://github.com/Wajid-devops/anton-putra-tutorials.git,AWS,1496
685887478,tutorials,https://github.com/yasir27uk/tutorials.git,AWS,1496
692509597,KubernetesDeploymentStaergywithcode,https://github.com/murulii/KubernetesDeploymentStaergywithcode.git,AWS,1496
645476770,demo,https://github.com/Abhishek-6770/demo.git,AWS,1449
598823582,terraform_tutorials,https://github.com/Jingasan/terraform_tutorials.git,AWS,1441
630877605,Tutorials,https://github.com/meghrajpawar1232/Tutorials.git,AWS,1413
111281391,mastino,https://github.com/datacite/mastino.git,AWS,1385
621807658,AWSDevOps,https://github.com/SanthoshAspire/AWSDevOps.git,AWS,1341
627271787,Autosacaling,https://github.com/srbharath/Autosacaling.git,AWS,1341
627604933,gen3-terraform,https://github.com/uc-cdis/gen3-terraform.git,AWS,1314
309475982,notification-terraform,https://github.com/cds-snc/notification-terraform.git,AWS,1260
186012495,mattermost-cloud-monitoring,https://github.com/mattermost/mattermost-cloud-monitoring.git,AWS,1225
611549380,AWSAnimalCrossing,https://github.com/lindsaygelle/AWSAnimalCrossing.git,AWS,1057
755713599,CKA,https://github.com/network-charles/CKA.git,AWS,995
237727191,aws-infrastructure,https://github.com/jay-li-0202/aws-infrastructure.git,AWS,979
83412971,govwifi-terraform,https://github.com/GovWifi/govwifi-terraform.git,AWS,957
387257715,fgt-aws-terraform,https://github.com/aforer68/fgt-aws-terraform.git,AWS,936
126539684,config-lint,https://github.com/stelligent/config-lint.git,AWS,919
299432782,config-lint,https://github.com/ffsclyh/config-lint.git,AWS,919
580632422,How-to-Create-EKS-Cluster-Using-Terraform,https://github.com/swamyrajesh/How-to-Create-EKS-Cluster-Using-Terraform.git,AWS,876
581672953,Gcp-Gke-Terraform,https://github.com/Nixon120/Gcp-Gke-Terraform.git,AWS,876
816758365,ils-terraform,https://github.com/ashgbruh/ils-terraform.git,AWS,852
223276619,academy,https://github.com/devopsacademyau/academy.git,AWS,828
542492972,DevOps1,https://github.com/Nyele93/DevOps1.git,AWS,828
803491346,cloud-game-development-toolkit,https://github.com/aws-games/cloud-game-development-toolkit.git,AWS,826
572880959,terraform-ec2-webserver,https://github.com/pdvprasad-trainer/terraform-ec2-webserver.git,AWS,820
623483297,platform-modules,https://github.com/kloia/platform-modules.git,AWS,816
511166721,aws-proton-terraform-demo,https://github.com/miratono/aws-proton-terraform-demo.git,AWS,812
441895103,localstack-terraform-samples,https://github.com/localstack-samples/localstack-terraform-samples.git,AWS,807
664557995,modernisation-platform,https://github.com/Adeniyikayodee/modernisation-platform.git,AWS,785
664967341,aws-modernisation-platform,https://github.com/ashrafulislamcs/aws-modernisation-platform.git,AWS,785
510420717,academy,https://github.com/sanmakol/academy.git,AWS,784
609271016,zscaler-script-samples,https://github.com/zscaler/zscaler-script-samples.git,AWS,784
131209713,terraform-aws-components,https://github.com/cloudposse/terraform-aws-components.git,AWS,758
600501500,AWS-Advanced-Networking,https://github.com/Its-All-About-the-Journey/AWS-Advanced-Networking.git,AWS,751
506329962,sample-templates-rafa,https://github.com/mikewrighton/sample-templates-rafa.git,AWS,746
739653205,AWS-Cloud-Automation,https://github.com/bpbpublications/AWS-Cloud-Automation.git,AWS,743
176755635,example-pragmatic-terraform-on-aws,https://github.com/tmknom/example-pragmatic-terraform-on-aws.git,AWS,739
181366709,tf-vpc-sandbox,https://github.com/ericdahl/tf-vpc-sandbox.git,AWS,726
556785478,proton-poc,https://github.com/Danyel1988/proton-poc.git,AWS,711
564809052,analytical-platform,https://github.com/ministryofjustice/analytical-platform.git,AWS,705
559965987,aws-proton-terraform-sample-templates,https://github.com/sdelbusto/aws-proton-terraform-sample-templates.git,AWS,702
591709188,proton-terraform-samples,https://github.com/garnaat/proton-terraform-samples.git,AWS,702
188791808,CloudGuardIaaS,https://github.com/CheckPointSW/CloudGuardIaaS.git,AWS,684
536273493,proton-templates,https://github.com/u2655/proton-templates.git,AWS,684
605820275,aws-proton-terraform-sample-templates,https://github.com/imtrahman/aws-proton-terraform-sample-templates.git,AWS,684
592279901,aws-proton-terraform-sample-templates,https://github.com/ryusuketesaki/aws-proton-terraform-sample-templates.git,AWS,673
470744160,aws-proton-terraform-sample-templates,https://github.com/aws-samples/aws-proton-terraform-sample-templates.git,AWS,671
510279631,seb-proton-terraform-sample-templates,https://github.com/allamand/seb-proton-terraform-sample-templates.git,AWS,671
510637673,aws-proton-terraform-templates,https://github.com/miratono/aws-proton-terraform-templates.git,AWS,671
530651073,aws-proton-terraform-sample-templates,https://github.com/AntonySanjo/aws-proton-terraform-sample-templates.git,AWS,671
534487498,proton-terraform-lab,https://github.com/dantesun/proton-terraform-lab.git,AWS,671
540106975,aws-proton-terraform-sample-templates,https://github.com/vcach/aws-proton-terraform-sample-templates.git,AWS,671
559972143,aws-proton-terraform-sample-templates,https://github.com/Danyel1988/aws-proton-terraform-sample-templates.git,AWS,671
673449513,aws-proton-samples,https://github.com/srhoton/aws-proton-samples.git,AWS,671
677253497,aws-proton-terraform-sample-templates,https://github.com/nauco/aws-proton-terraform-sample-templates.git,AWS,671
692983807,-aws-proton-terraform-sample-templates,https://github.com/nbear99/-aws-proton-terraform-sample-templates.git,AWS,671
844691667,aws-proton-terraform-templates,https://github.com/Rud5G/aws-proton-terraform-templates.git,AWS,671
97986310,simpleinfra,https://github.com/rust-lang/simpleinfra.git,AWS,656
467691936,serverless-sample-app,https://github.com/DataDog/serverless-sample-app.git,AWS,656
278376996,govuk-infrastructure,https://github.com/alphagov/govuk-infrastructure.git,AWS,654
722283501,filmdrop-aws-tf-modules,https://github.com/Element84/filmdrop-aws-tf-modules.git,AWS,654
118637305,terraform,https://github.com/SebastianUA/terraform.git,AWS,650
550638162,aws_terraform_practice,https://github.com/kiranmsalunke/aws_terraform_practice.git,AWS,640
551147596,terraformansible,https://github.com/raghavendrawls/terraformansible.git,AWS,640
557417308,ref-terraform-antonputra,https://github.com/DhanukaRathnayake/ref-terraform-antonputra.git,AWS,640
665052957,AWS-EKS-FARGATE-WITH-TERRAFORM,https://github.com/princesajid786/AWS-EKS-FARGATE-WITH-TERRAFORM.git,AWS,640
319976193,forms-terraform,https://github.com/cds-snc/forms-terraform.git,AWS,636
513347606,Terraform,https://github.com/aydave12/Terraform.git,AWS,624
128846069,HCLParser,https://github.com/OctopusDeploy/HCLParser.git,AWS,619
558017146,HCLParser,https://github.com/jquepi/HCLParser.git,AWS,619
506747965,terraform-infra,https://github.com/pauwels-labs/terraform-infra.git,AWS,617
374766273,tree-sitter-hcl,https://github.com/tree-sitter-grammars/tree-sitter-hcl.git,AWS,614
391824637,tree-sitter-hcl-query,https://github.com/flatt-security/tree-sitter-hcl-query.git,AWS,614
644001560,ecc-azure-rulepack,https://github.com/epam/ecc-azure-rulepack.git,Azure,2430
128292225,kubernetes,https://github.com/briandenicola/kubernetes.git,Azure,1284
117169328,terraform,https://github.com/Azure/terraform.git,Azure,1127
599938460,terraform-azurerm-caf-old,https://github.com/najeebvv/terraform-azurerm-caf-old.git,Azure,929
282118017,terraform-azurerm-caf,https://github.com/aztfmod/terraform-azurerm-caf.git,Azure,916
